gene	genesets	t-test	no. of genesets	component name
string	string	<=0.00 >0.00	continuous	string
            
MGST2	HSA00980_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450, HSA00480_GLUTATHIONE_METABOLISM, GLUTATHIONE_METABOLISM	<=0.00	3	glutathione transferase activity
MGST1	HSA00980_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450, HSA00480_GLUTATHIONE_METABOLISM, GLUTATHIONE_METABOLISM	<=0.00	3	glutathione transferase activity
PRKAR1A	NFATPATHWAY, SHHPATHWAY, AGPCRPATHWAY, DREAMPATHWAY, PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM, AMIPATHWAY, GPCRPATHWAY, CALCIUM_REGULATION_IN_CARDIAC_CELLS, HSA04910_INSULIN_SIGNALING_PATHWAY, CREBPATHWAY, GATA3PATHWAY, NOS1PATHWAY, CSKPATHWAY, BADPATHWAY, CK1PATHWAY, CFTRPATHWAY, MPRPATHWAY, CHREBPPATHWAY, MCALPAINPATHWAY, HSA04210_APOPTOSIS, PLCEPATHWAY, NO1PATHWAY, G_PROTEIN_SIGNALING, PPARAPATHWAY, GSPATHWAY, VIPPATHWAY, SMOOTH_MUSCLE_CONTRACTION, CARM1PATHWAY	>0.00	28	activation of protein kinase A activity
RPN2	HSA01030_GLYCAN_STRUCTURES_BIOSYNTHESIS_1, HSA00510_N_GLYCAN_BIOSYNTHESIS, PROTEASOMEPATHWAY, N_GLYCAN_BIOSYNTHESIS	<=0.00	4	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
FDFT1	HSA00100_BIOSYNTHESIS_OF_STEROIDS, TERPENOID_BIOSYNTHESIS, BIOSYNTHESIS_OF_STEROIDS, HSA00900_TERPENOID_BIOSYNTHESIS, CHOLESTEROL_BIOSYNTHESIS	>0.00	5	isoprenoid biosynthetic process
HMOX1	PORPHYRIN_AND_CHLOROPHYLL_METABOLISM, HSA00860_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM, IL10PATHWAY	<=0.00	3	oxidation reduction
PSMA2	HSA03050_PROTEASOME, PROTEASOMEPATHWAY, PROTEASOME	>0.00	3	threonine-type peptidase activity
PSMA6	HSA03050_PROTEASOME, PROTEASOMEPATHWAY, PROTEASOME	>0.00	3	threonine-type peptidase activity
PSMA4	CIRCADIAN_EXERCISE, HSA03050_PROTEASOME, PROTEASOMEPATHWAY, PROTEASOME	>0.00	4	threonine-type peptidase activity
PSMA5	HSA03050_PROTEASOME, PROTEASOMEPATHWAY, PROTEASOME	>0.00	3	threonine-type peptidase activity
POLR2G	RNA_TRANSCRIPTION_REACTOME, HSA00230_PURINE_METABOLISM, RNA_POLYMERASE, HSA03020_RNA_POLYMERASE, HSA00240_PYRIMIDINE_METABOLISM, PURINE_METABOLISM, PYRIMIDINE_METABOLISM	>0.00	7	RNA polymerase activity
POLR2L	HSA00240_PYRIMIDINE_METABOLISM, RNA_POLYMERASE, HSA03020_RNA_POLYMERASE, HSA00230_PURINE_METABOLISM, PURINE_METABOLISM, PYRIMIDINE_METABOLISM	<=0.00	6	RNA polymerase activity
