gene	t-test	articles	component name
string	<=0.00 >0.00	string	string
            
HIST1H4C	>0.00	7626218, 12408966, 11080476, 15556009, 12477932, 9119399, 9566873, 14657027, 9439656, 11689053	nucleosome assembly
RNF10	<=0.00	14702039, 16335786, 12658628, 18941509, 9039502, 12168954, 12477932, 10697961, 16344560, 16169070, 15489334	positive regulation of transcription
HIST1H4E	>0.00	9566873, 12408966, 11080476, 12477932, 9119399, 14657027, 9439656, 11689053	nucleosome assembly
TBC1D22A	>0.00	12529303, 14702039, 12477932, 15461802, 10591208, 19077034, 18186464, 18029348, 15489334	3-mercaptopyruvate sulfurtransferase activity
RAB40B	>0.00	14702039, 11697911, 12076535, 15489334, 12477932	nucleic acid binding
TACSTD1	<=0.00	15642098	cellular biopolymer catabolic process
PSMD11	>0.00	9426256, 17353931, 14564014, 12665801, 12719574, 15029244, 12167863, 9079628, 9846577, 11285280, 1317798, 14528301, 14528300, 12185077, 12809610, 12791267, 12920286, 12859895, 8125298, 12750511, 14557625, 12914693, 12970355, 14527406, 10893419, 12477932, 9811770, 14702039, 9373149, 14614829, 8811196, 16305752, 12840737, 16169070, 12419264, 17081983, 14550573, 12140684, 9119060, 12808466, 12808465, 15489334, 12830140	cellular process
PSMD12	>0.00	9426256, 17353931, 14564014, 12665801, 14743216, 12719574, 15029244, 12167863, 9079628, 9846577, 11285280, 1317798, 14528301, 14528300, 16501559, 12809610, 12791267, 12920286, 15642098, 8125298, 12750511, 14557625, 12914693, 12970355, 14527406, 10893419, 12477932, 9811770, 9373149, 14614829, 8811196, 12859895, 12840737, 12419264, 14550573, 14702039, 12808466, 12808465, 15489334, 12830140	cellular process
HSPCA	>0.00	12477932	nucleic acid binding
C6orf32	>0.00	15642098, 17825087	cellular biopolymer catabolic process
MAGEA8	<=0.00	7927540, 8575766, 10521804, 12477932, 11211869	""
MAGEA2	<=0.00	12525503, 8113684, 16847267, 8276455, 17634428, 10854409, 12477932, 1840703, 8416750, 7591235, 18197853, 7927540, 8575766, 15489334	""
MAGEA5	<=0.00	12477932, 10521804, 11211869, 18197853, 7927540, 8575766, 15489334	""
PCDHGC3	>0.00	15744052, 8508762, 9360932, 16751190, 10835267, 16136131, 8719883, 10380929, 12477932, 10817752, 10716726, 11230163, 9865466, 18029348, 15489334	homophilic cell adhesion
HLA-DMB	>0.00	8890155, 18506881, 12648225, 12663675, 10716924, 11956296, 8757605, 8168144, 8568858, 11775239, 8574855, 11441095, 15547089, 1922365, 10519369, 9371817, 9879837, 17652306, 12858445, 10631952, 16737583, 10661406, 9157091, 14754527, 7648393, 15547082, 8849454, 12427289, 7602119, 8084338, 9759843, 12932352, 10209506, 18779172, 9551909, 8225438, 10885572, 15489334, 11048639, 11881821, 16335952, 9311912, 9079699, 12786997, 12392850, 12477932, 11168931, 7528727, 7512597, 18348411, 12742663, 16864101, 10322421, 2846691, 15787724, 1967269, 8376762, 15489916, 8947036, 17015729, 19047092, 9768757, 10729169, 3489470, 7541827, 8920889, 2543930, 11591653, 11743588, 11118314, 8034636, 1978941, 8406617, 11827988, 1869305, 8139690	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
