0hr	2hr	4hr	6hr	8hr	10hr	12hr	14hr	16hr	18hr	20hr	22hr	24hr	dummy	DDB	Biological process	Cellular component	Molecular function
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	0 1 2 3 4 5 6	string	string	string	string
													class	meta	meta	meta	meta
0.9572	0.7359	0.8881	1.2345	0.1257	-0.0040	-0.2413	-0.8154	-0.9833	-0.3267	-0.6005	-1.0302	0.0349	0	DDB0203850	NA	NA	subtilase activity
1.1618	0.7152	0.4664	0.4389	-0.4154	0.0724	-0.3732	-0.8255	-1.0116	-0.8005	-0.2659	-0.0518	-0.2146	0	DDB0191507	endocytosis	late endosome	RAB small monomeric GTPase activity
0.3624	0.8949	0.8404	1.2869	-0.3820	0.7926	-0.5319	-1.1920	-1.1098	-0.4508	-0.6179	-1.5894	-1.0286	0	DDB0001705	NA	NA	NA
0.6543	-0.0442	0.2429	-0.3017	0.2545	-0.4792	1.0639	0.0370	0.3491	-0.2386	0.4082	-0.1371	0.0285	3	DDB0202721	NA	NA	NA
0.2576	0.7524	-0.0966	0.6235	0.0395	0.0015	-0.4888	-0.7200	-0.5586	-0.6801	-0.4306	-0.3208	0.1852	4	DDB0202725	NA	NA	NA
1.6313	0.9798	0.6790	0.6786	0.5236	-0.1854	-0.3782	-0.7374	-0.8017	-1.1221	-0.4825	-0.6671	-0.3375	0	DDB0186835	NA	NA	NA
0.2576	0.7524	-0.0966	0.6235	0.0395	0.0015	-0.4888	-0.7200	-0.5586	-0.6801	-0.4306	-0.3208	0.1852	4	DDB0202727	NA	NA	NA
0.9055	0.0892	0.4524	0.2800	-0.0687	-0.1593	-0.4171	0.0054	-0.2358	-0.8854	0.2602	0.1107	-0.4416	1	DDB0186837	peptide metabolism	cytoplasm	aminopeptidase activity
-0.0246	0.4740	0.2691	0.4183	-0.2760	-0.8504	-0.0012	0.2161	-0.3465	-0.1131	-0.3511	-0.3333	-0.4302	1	DDB0202729	NA	NA	NA
0.3914	0.6759	0.7436	0.7486	-0.0325	0.3781	0.0299	-0.2371	-0.3627	-0.1885	0.0907	-0.3954	0.0101	4	DDB0186839	NA	NA	NA
0.5362	-0.0811	-0.3882	0.3582	-0.1978	-0.3521	-0.3034	-0.2161	-0.5270	-0.4928	-0.5207	0.1247	0.2659	1	DDB0189118	NA	NA	NA
2.1673	1.2308	0.4901	0.9134	-0.1406	-2.4806	-1.5307	-2.4785	-1.9259	-1.5794	-1.2112	-0.9267	-1.3056	0	DDB0185051	translational elongation, G-protein coupled receptor protein signaling pathway, ?, nucleoside triphosphate biosynthesis	secretory granule, cytoplasm, plasma membrane, cytoskeleton, ribosome	nucleoside-diphosphate kinase activity, transferase activity
-0.5814	-0.0185	-0.3900	-0.1883	0.9118	-0.6480	0.1035	-0.6730	-0.9094	-0.8740	-0.2621	0.4592	0.9096	2	DDB0185122	NA	cytoplasm	NA
-0.6651	-0.5426	0.0593	-0.6157	-0.4060	0.3920	0.8124	0.7914	1.0040	0.0814	-0.0591	0.0414	-0.7743	3	DDB0169023	chromosome organization and biogenesis (sensu Eukarya), nucleosome assembly	nucleus	DNA binding, ATP binding
2.9686	0.4989	-0.2013	-0.2975	-0.0304	-0.6155	-0.4064	-0.3453	-1.4966	-1.2383	-0.7038	-0.1538	-1.3065	0	DDB0215005	NA	NA	NA
-1.1818	-0.1342	-0.8395	-0.3224	0.2198	-0.3750	0.0282	0.8914	-0.0356	-0.1460	-0.3518	0.2839	-0.2159	3	DDB0186235	NA	NA	NA
0.3776	-0.2103	0.0818	-0.9433	0.2361	0.0903	0.4850	0.3930	0.7500	-0.8317	0.7006	0.4795	0.1788	3	DDB0191974	NA	NA	NA
-1.6695	-1.1926	-0.9470	-0.6896	0.9769	0.8108	1.3539	0.7169	0.7841	1.3293	0.0909	-0.1840	0.3503	5	DDB0185906	NA	NA	NA
0.6418	0.3253	0.8629	0.4971	-0.1551	0.4568	0.1242	0.1196	-0.3059	-0.7214	-0.0018	-0.1806	-0.2790	4	DDB0204253	NA	NA	hydrolase activity
-0.0246	0.4740	0.2691	0.4183	-0.2760	-0.8504	-0.0012	0.2161	-0.3465	-0.1131	-0.3511	-0.3333	-0.4302	1	DDB0206351	NA	NA	NA
0.7625	1.0048	0.6182	0.6823	1.0412	-0.1581	0.1927	-0.7750	-0.4397	-0.8596	-0.4950	-0.7086	0.3166	4	DDB0167973	NA	NA	NA
2.0418	1.1453	1.6698	0.8459	0.2239	0.6380	0.0615	-1.4365	0.0377	-0.3447	-1.3456	-0.2111	-0.7158	0	DDB0168641	NA	NA	NA
0.4867	0.6162	-0.2364	0.1653	-0.3714	0.1290	-0.2685	-0.0104	0.1648	-0.4002	0.4100	0.0640	0.1105	1	DDB0205283	DNA replication, DNA repair	delta-DNA polymerase cofactor complex	enzyme binding
-2.8800	-2.1197	-2.5843	-2.3774	0.4785	0.8064	0.7347	0.9679	1.4301	2.8957	1.3724	0.8906	0.3639	5	DDB0186167	fatty acid metabolism	NA	long-chain-fatty-acid-CoA ligase activity
-2.8800	-2.1197	-2.5843	-2.3774	0.4785	0.8064	0.7347	0.9679	1.4301	2.8957	1.3724	0.8906	0.3639	5	DDB0186165	NA	NA	NA
1.6313	0.9798	0.6790	0.6786	0.5236	-0.1854	-0.3782	-0.7374	-0.8017	-1.1221	-0.4825	-0.6671	-0.3375	0	DDB0186834	NA	NA	NA
1.4270	1.1093	0.6227	0.4157	-0.3299	-0.2226	0.1148	-1.1854	-0.6314	-1.2128	-0.4584	-0.6384	0.1091	0	DDB0169357	folic acid and derivative biosynthesis, one-carbon compound metabolism, purine base biosynthesis	cytosol	catalytic activity, ATP binding, methylenetetrahydrofolate dehydrogenase (NAD) activity
-1.6362	-1.5207	-1.0828	-1.0935	0.8663	0.3533	0.8053	0.7945	1.0757	0.7484	0.4610	0.2604	0.4727	6	DDB0168730	NA	NA	NA
0.0417	0.1177	0.5239	-0.0505	0.0936	0.1956	-0.1890	-0.1893	-0.2035	0.3250	-0.3516	-0.1264	0.0229	1	DDB0203709	NA	NA	NA
-0.0095	0.4418	0.3474	0.6811	-0.0991	0.2901	-0.1960	-0.2362	-0.0311	-0.4983	0.0779	-0.0272	0.4214	1	DDB0203703	NA	NA	NA
1.0408	0.6638	0.7510	0.9049	-0.5185	-0.5360	-0.1917	-0.9839	-0.3532	-0.1414	-0.4448	-0.6862	0.3166	0	DDB0192040	NA	NA	NA
0.5999	0.3149	0.1194	-0.3368	-0.2599	-0.3825	-0.3000	-0.2856	0.4806	0.2378	0.6812	0.1216	-0.3884	3	DDB0190974	NA	NA	NA
-1.3252	-1.6716	-1.3404	-0.3168	0.5930	0.3362	1.0250	-0.4040	0.8436	0.4514	0.5953	1.4450	-0.1621	6	DDB0191241	transport	integral to membrane	ATP-binding cassette (ABC) transporter activity, ATP binding
-0.0439	0.1021	-0.1968	0.0703	-0.5772	-0.4863	-0.3386	0.0234	0.2689	0.0924	-0.2647	0.3435	-0.1811	1	DDB0192223	protein modification	NA	NA
-0.0203	0.5166	-0.2151	0.3158	0.0804	-0.7128	0.4145	-0.2454	-0.8870	-0.5559	-0.1289	-0.3941	0.0000	1	DDB0186768	NA	NA	NA
-0.2390	-0.1645	-0.4354	-0.3124	0.5488	-0.0562	-0.0502	-0.2739	0.6928	0.4808	0.3033	0.3889	0.2840	3	DDB0188529	NA	NA	NA
-0.0949	-0.2249	-0.2163	-0.5059	-0.1676	0.4044	0.6033	-0.1874	0.0491	0.1093	0.2333	-0.0662	1.1579	3	DDB0187366	NA	NA	NA
1.2960	1.1341	0.6564	1.3459	-0.3668	0.5995	-0.4899	-1.5444	-1.2405	-1.3716	-0.5925	0.0447	0.3135	0	DDB0214839	NA	NA	transcription factor activity
0.4397	-0.1735	-0.7101	-0.6340	0.1050	-0.4386	0.3643	0.0552	0.2989	-0.9238	0.2938	-0.2314	-0.0564	3	DDB0169514	proteolysis and peptidolysis	extracellular	cysteine-type peptidase activity, cysteine-type endopeptidase activity
0.3757	0.3262	0.1412	0.0065	0.4457	0.5719	0.3086	0.2639	-0.0818	-0.1985	-0.0885	-0.5263	0.0054	1	DDB0205661	NA	NA	NA
0.5372	0.3693	-0.0777	0.1921	-0.0900	0.4421	0.1360	-0.3411	0.2850	0.4315	0.2558	-0.8455	-0.1375	1	DDB0190805	ethanol fermentation, NADH oxidation	mitochondrion	NADH dehydrogenase activity
-0.6050	-0.6624	-0.1218	-0.7515	0.6507	0.4839	0.0548	0.5982	0.5022	1.0683	0.9834	0.2504	-0.0929	3	DDB0191332	NA	NA	NA
0.6182	0.7845	0.6331	1.0451	0.0600	-0.0678	-0.8106	-0.7615	-1.0943	-0.5200	-0.1905	-0.9719	0.5190	0	DDB0202502	NA	NA	NA
0.4855	0.0673	0.4481	1.0535	0.1513	-0.0306	0.1561	0.4117	0.1979	0.6990	0.3141	-0.2862	0.4975	1	DDB0188232	NA	NA	NA
-0.7045	-0.7425	-0.1194	-0.2193	0.8260	0.6236	0.6616	0.5404	0.5375	0.4467	-0.0156	0.2866	-0.0513	3	DDB0206531	NA	NA	NA
0.1702	-0.0400	0.4188	0.1825	0.4852	0.8182	0.2412	-0.0679	0.3643	0.1427	0.0035	-0.1830	-0.0859	1	DDB0206533	NA	NA	ubiquitin conjugating enzyme activity
0.0402	0.3379	0.0394	-0.1958	0.3087	0.0742	0.2655	0.0615	0.1447	0.0628	0.0546	-0.4967	-0.1833	1	DDB0191393	NA	NA	cAMP receptor activity, chemotaxis
0.7194	0.0398	-0.1299	-0.3979	-0.0193	0.3474	0.0390	0.3424	-0.2680	-0.2593	-0.0009	-0.1041	-0.4641	1	DDB0205840	NA	NA	nucleic acid binding
0.2307	-0.1362	0.1102	0.5929	0.0834	-0.4256	0.1567	-0.2998	0.1706	0.0962	0.6307	0.1691	0.5371	3	DDB0201566	protein biosynthesis, signal transduction	NA	GTP binding
0.2542	0.7423	0.4679	-0.2156	0.0645	0.6649	0.4789	0.4778	1.2073	-0.2567	0.1209	0.0447	-0.2910	3	DDB0201562	nitrogen metabolism	intracellular	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, actin binding
0.4402	-1.9693	-0.8494	-1.5296	-0.5591	-0.1972	-0.2134	0.0897	0.1705	0.3160	1.2759	0.7357	0.1177	6	DDB0002017	NA	NA	NA
0.4683	-0.3304	-0.9529	-0.3512	-0.7793	-0.7264	0.1003	0.4578	1.6539	0.5651	0.0461	-0.3865	-0.2630	3	DDB0192086	male meiosis, spermatid development	NA	chaperone activity, heat shock protein activity
1.0672	0.1957	0.5311	0.4758	-0.3893	-0.7517	-0.6886	-0.8852	-0.9984	-0.6122	-0.2258	0.4556	-0.1223	0	DDB0203420	NA	NA	structural constituent of ribosome
1.6795	0.5857	1.0175	0.9426	-0.3830	-0.7054	0.8771	-0.9927	-0.4509	-1.1261	-0.5811	-0.4087	-0.2903	0	DDB0190595	fructose metabolism	NA	fructose-2,6-bisphosphate 2-phosphatase activity
0.1630	0.2894	0.2322	-0.2164	0.1982	0.0452	-0.1648	-0.0652	-0.0833	-0.1485	0.2206	0.1399	0.0875	1	DDB0185641	NA	cytoplasm	oxysterol binding
0.2263	0.5416	0.8902	0.4226	0.5518	0.1675	-0.1606	-0.2951	-0.3167	-0.4482	-0.4389	-0.6633	-0.5512	4	DDB0001440	NA	NA	NA
0.6685	1.2895	-0.1286	0.6218	0.0438	-0.4887	-0.0251	-0.7900	-0.3160	-1.0815	-1.2893	-0.7652	-0.4723	0	DDB0190374	NA	NA	NA
-0.0740	-0.0969	0.3211	-0.2454	0.7988	1.2006	1.0655	0.2923	-0.0482	0.7220	-0.1735	-0.6647	-0.8547	1	DDB0202735	NA	NA	NA
-1.8053	-1.2418	-1.7980	-1.9171	0.6980	1.1173	0.6602	0.9539	0.4240	1.0823	0.3051	0.7175	-0.8158	5	DDB0206396	NA	NA	protein kinase activity
-0.8379	-0.5081	-0.6151	-0.7919	-0.6487	0.3798	-0.0431	0.8525	1.1889	0.2790	0.6503	0.8270	0.5475	6	DDB0001627	NA	NA	NA
-0.3833	0.0820	-0.4718	-0.0177	-0.4067	0.0001	-0.4912	-0.0221	-0.1010	0.6565	0.4341	0.1801	0.3832	3	DDB0187036	NA	NA	NA
-0.8880	-0.3641	0.6799	-0.1809	-0.0407	0.6744	0.6081	0.8493	0.2795	1.0560	0.5060	0.7769	-0.3457	3	DDB0214906	NA	NA	catalytic activity
-1.7881	-1.7565	-0.9936	-1.6936	1.6028	0.5408	0.3324	0.5571	0.8319	1.4762	0.3691	0.3322	0.3308	5	DDB0201708	NA	NA	NA
1.5743	0.8934	1.2759	0.6440	0.1247	0.2531	-0.4933	-0.3367	-0.9081	-0.9849	-0.2023	-0.3896	-0.3604	0	DDB0167104	NA	NA	NA
0.5768	1.8324	0.6258	0.1182	1.4403	-0.6470	0.0294	-0.3772	-0.5652	-0.3189	-0.4746	-0.5865	0.0927	4	DDB0167100	NA	NA	NA
-0.0531	-0.3526	0.0137	-0.1027	-0.0300	0.0603	-0.4255	0.1754	-0.0029	0.2069	-0.1413	0.0113	-0.1648	1	DDB0184465	electron transport, oxidative phosphorylation	integral to membrane, mitochondrion, mitochondrial electron transport chain	electron transporter activity
-0.0203	0.5166	-0.2151	0.3158	0.0804	-0.7128	0.4145	-0.2454	-0.8870	-0.5559	-0.1289	-0.3941	0.0000	1	DDB0001930	NA	NA	NA
-1.4116	-0.8823	-1.3981	-0.5825	0.1776	0.4650	0.4232	0.5482	0.8866	1.1373	0.5060	-0.4708	-0.2530	6	DDB0191988	NA	NA	NA
1.2868	0.9694	0.5233	0.3599	0.1732	0.3016	-0.3868	-0.6827	-1.0810	-0.1368	-1.0509	-0.3387	-0.8722	0	DDB0186827	NA	NA	NA
0.6201	0.9098	0.7236	0.8398	-0.2584	0.4099	-0.4406	-0.1943	-0.5794	-0.1419	-0.2472	-0.4874	0.1310	0	DDB0189245	NA	NA	NA
-0.1986	-0.3626	-1.8500	-0.6775	-0.4784	-0.6044	-0.2179	0.2267	-0.1192	0.4633	-0.4862	0.6702	-0.9556	6	DDB0185020	proteolysis and peptidolysis	NA	subtilase activity
0.4473	0.0373	0.0773	-0.3360	-0.5325	0.0795	-0.1752	0.2044	-0.0342	-0.3943	-0.0383	-0.0707	-0.1054	1	DDB0215017	NA	NA	NA
-1.2434	-1.2546	-1.5433	-1.2532	0.5974	1.2077	-0.0254	1.1212	0.4965	0.4398	0.3652	0.5790	-0.9768	6	DDB0215013	NA	NA	NA
-2.0002	-0.9860	-1.9839	-1.6174	0.7598	1.2199	-1.9388	0.8093	1.5227	1.6527	-0.8110	1.4510	-2.4107	5	DDB0169032	protein biosynthesis	ribosome, intracellular, cytosolic large ribosomal subunit (sensu Eukarya)	structural constituent of ribosome
1.8443	1.0674	1.9545	1.0942	-0.0506	-1.9912	-0.7725	-0.7924	-1.0445	-1.2949	-0.8391	1.0141	-1.8506	0	DDB0215010	NA	NA	NA
-0.4131	0.7702	-0.1665	0.3165	-0.1504	-0.9574	0.3246	-0.2519	-0.7263	-0.3327	-0.2723	0.0891	0.1609	2	DDB0186226	NA	NA	NA
