index	label	city	Lufthansa	American Airlines	United	Adria
string	string	string	1 0	1 0	1 0	1 0
						class
1	CPH	Kopenhagen/Copenhagen	1	1	1	1
2	SIT	Sitka AK US	0	1	0	0
3	ZQN	Queenstown NZ	0	1	1	0
4	WAW	Warschau/Warsaw	1	1	1	1
5	YUM	Yuma, AZ	0	0	1	0
6	YUL	Montreal Trudeau	1	1	1	0
7	SID	Sal, Cape Verde	0	0	1	0
8	AGU	Aguascalientes MX	0	1	0	0
9	CPT	Kapstadt/Cape Town	1	1	1	0
10	SIN	Singapur/Singapore	1	1	1	0
11	AGP	Malaga	1	1	0	0
12	SPS	Wichita Falls (Sheppard) TX US	0	1	0	0
13	SPU	Split	1	0	0	0
14	SPI	Springfield, IL	0	0	1	0
15	TKU	Turku	1	0	0	0
16	SPN	Saipan, Northern Mariana Islands	0	0	1	0
17	BWI	Baltimore	1	1	1	0
18	TAO	Tsingtao/Qingdao	1	0	1	0
19	BWN	Bandar Seri	1	0	0	0
20	XPJ	Montpellier, France - Rail	0	0	1	0
21	XHK	Valence Rail Svc FR	0	1	1	0
22	WRO	Breslau/Wroclaw	1	0	0	0
23	WRL	Worland, WY	0	0	1	0
24	VAA	Vaasa	1	0	0	0
25	GIG	Rio De Janeiro (Intl) RJ BR	0	1	1	0
26	LHR	London Heathrow	1	1	1	0
27	FIH	Kinshasa (N'Djili) CD	0	1	0	0
28	ROW	Roswell NM US	0	1	0	0
29	LAN	Lansing, MI	0	0	1	0
30	MAR	Maracaibo VE	0	1	0	0
31	JNU	Juneau AK US	0	1	0	0
32	SNA	Santa Ana	1	1	1	0
33	SNN	Shannon IE	0	1	1	0
34	AHO	Alghero	1	0	0	0
35	ERF	Erfurt	1	0	0	0
36	MAA	Chennai/Madras	1	0	1	0
37	JNB	Johannesburg	1	1	1	0
38	LAX	Los Angeles	1	1	1	0
39	MAD	Madrid	1	1	1	0
40	OVD	Asturias	1	0	0	0
41	MAF	Midland/Odessa TX US	0	1	0	0
42	LAW	Lawton OK US	0	1	0	0
43	SHR	Sheridan, WY	0	0	1	0
44	LAR	Laramie, WY	0	0	1	0
45	LAS	Las Vegas	1	1	1	0
46	GUC	Gunnison, CO	0	0	1	0
47	CMN	Casablanca	1	1	0	0
48	GUA	Guatemala Stadt/City	1	1	1	0
49	DTM	Dortmund	1	1	0	0
50	CMH	Columbus	1	1	1	0
51	LMT	Klamath Falls OR US	0	1	0	0
52	TSE	Astana	1	0	0	0
53	BEG	Belgrad/Belgrade	1	1	1	0
54	GUM	Guam, Guam	0	0	1	0
55	BEY	Beirut	1	0	0	0
56	DTW	Detroit	1	1	1	0
57	CPR	Casper, WY	0	0	1	0
58	EVV	Evansville IN US	0	1	0	0
59	LSE	La Crosse WI US	0	1	0	0
60	AGS	Augusta, GA	0	0	1	0
61	VLC	Valencia	1	0	0	0
62	CAI	Kairo/Cairo	1	0	1	0
63	KBP	Kiew/Kiev	1	0	1	1
64	WLG	Wellington NZ	0	1	1	0
65	KBV	Krabi	1	0	0	0
66	UVF	St Lucia (Hewanorra) LC	0	1	0	0
67	IGU	Iguassu Falls PR BR	0	1	0	0
68	GRU	Sao Paulo	1	1	1	0
69	GRR	Grand Rapids	1	1	1	0
70	CDR	Chadron, NE	0	0	1	0
71	BLQ	Bologna	1	1	1	0
72	GRX	Granada	1	0	0	0
73	BLR	Bangalore	1	0	1	0
74	BLL	Billund	1	0	0	0
75	DSM	Des Moines	1	1	1	0
76	GRB	Green Bay	1	1	1	0
77	IGM	Kingman, AZ	0	0	1	0
78	GRK	Killeen (Gray) TX US	0	1	0	0
79	INV	Inverness	1	0	0	0
80	MXP	Mailand/Milan Malpensa	1	1	1	0
81	ALS	Alamosa, CO	0	0	1	0
82	OKA	Okinawa, Japan	0	0	1	0
83	INN	Innsbruck	1	0	1	0
84	IND	Indianapolis	1	1	1	0
85	YYJ	Victoria	1	1	1	0
86	CMI	Champaign IL US	0	1	0	0
87	DOK	Donezk/Donetsk	1	0	0	0
88	DOH	Doha	1	1	0	0
89	CTS	Sapporo	1	1	1	0
90	GLA	Glasgow	1	1	1	0
91	EIS	Beef Is. VG	0	1	0	0
92	BZE	Belize City (Goldson) BZ	0	1	1	0
93	CTA	Catania	1	0	0	0
94	AKL	Auckland	1	1	1	0
95	SMF	Sacramento	1	1	1	0
96	REG	Reggio Calabria	1	0	0	0
97	GGT	George Town BS	0	1	0	0
98	OUL	Oulu	1	0	0	0
99	MDE	Medellin (J M Cordova) CO	0	1	0	0
100	BSL	Basel	1	1	0	0
101	LFT	Lafayette LA US	0	1	0	0
102	GGG	Longview (Gregg Cty)TX US	0	1	0	0
103	MDT	Harrisburg	1	1	1	0
104	FCO	Rom/Rome Fiumicino	1	1	1	1
105	AUA	Aruba AW	0	1	1	0
106	VER	Veracruz	1	1	0	0
107	ZMB	Hamburg (Main/HBF) Rail Svc DE	0	1	0	0
108	AUH	Abu Dhabi	1	1	1	0
109	DFW	Dallas Fort Worth	1	1	1	0
110	FMN	Farmington, NM	0	0	1	0
111	FMO	Münster-Osnabrück	1	0	0	0
112	AUS	Austin	1	1	1	0
113	MVD	Montevideo UY	0	1	0	0
114	JED	Dschidda/Jeddah	1	0	0	0
115	TAM	Tampico	1	1	0	0
116	ZMU	Munich (Main/HBF) Rail Svc DE	0	1	0	0
117	MME	Durham Tees Valley	1	0	1	0
118	SBP	San Luis Obispo CA US	0	1	1	0
119	PUJ	Punta Cana DO	0	1	1	0
120	LMP	Lampedusa	1	0	0	0
121	ALG	Algier/Algiers	1	0	0	0
122	EDI	Edinburgh	1	1	1	0
123	ALB	Albany	1	1	1	0
124	ALC	Alicante	1	0	0	0
125	PUB	Pueblo, CO	0	0	1	0
126	ALA	Almaty	1	0	0	0
127	SBA	Santa Barbara	1	1	1	0
128	ORK	Cork IE	0	1	0	0
129	ORF	Norfolk	1	1	1	0
130	ORD	Chicago	1	1	1	0
131	SBN	South Bend	1	0	1	0
132	PUQ	Punta Arenas CL	0	1	0	0
133	PUS	Busan	1	1	1	0
134	BAV	Baotou, China	0	0	1	0
135	KOJ	Kagoshima	1	0	1	0
136	DPS	Denpasar Bali ID	0	1	0	0
137	KOA	Kona HI US	0	1	1	0
138	LRM	La Romana DO	0	1	0	0
139	CAK	Akron-Canton	1	0	1	0
140	IBZ	Ibiza	1	0	0	0
141	CAN	Kanton/Guangzhou	1	0	1	0
142	TOL	Toledo OH US	0	1	0	0
143	CAG	Cagliari	1	0	0	0
144	BAH	Bahrain	1	1	0	0
145	IAH	Houston	1	1	1	0
146	VPS	Valparaiso FL US	0	1	0	0
147	QKL	Köln/Cologne Bhf/Sta	1	1	0	0
148	KMJ	Kumamoto, Japan	0	0	1	0
149	PGV	Greenville, NC	0	0	1	0
150	CAE	Columbia	1	1	1	0
151	IAD	Washington Dulles	1	1	1	0
152	HIJ	Hiroshima, Japan	0	0	1	0
153	ONT	Ontario	1	1	1	0
154	ABE	Allentown, PA	0	0	1	0
155	XOP	Poitiers Rail Svc FR	0	1	1	0
156	STL	St. Louis	1	1	1	0
157	ABI	Abilene TX US	0	1	0	0
158	ABJ	Abidjan CI	0	1	0	0
159	KTW	Kattowitz/Kattowice	1	0	0	0
160	STI	Santiago DO	0	1	0	0
161	STT	St Thomas VI	0	1	1	0
162	KTM	Kathmandu	1	0	0	0
163	KTN	Ketchikan AK US	0	1	0	0
164	SOB	Balaton	1	0	0	0
165	SLP	San Luis Potosi MX	0	1	0	0
166	HGH	Hangzhou	1	0	1	0
167	GCC	Gillette, WY	0	0	1	0
168	ABZ	Aberdeen	1	1	1	0
169	STX	St Croix VI	0	1	0	0
170	ZRH	Zürich/Zurich	1	1	1	1
171	TFN	Teneriffa/Tenerife Norte Los Rodeos	1	0	0	0
172	BHM	Birmingham AL US	0	1	1	0
173	PNS	Pensacola FL US	0	1	0	0
174	PGA	Page, AZ	0	0	1	0
175	BHD	Belfast City	1	0	1	0
176	PNH	Phnom Penh	1	0	0	0
177	NCL	Newcastle	1	1	0	0
178	PNL	Pantelleria	1	0	0	0
179	RST	Rochester MN US	0	1	0	0
180	OGG	Kahului	1	1	1	0
181	RSW	Fort Myers	1	1	1	0
182	NCE	Nizza/Nice	1	1	1	0
183	JFK	New York JFK	1	1	1	0
184	ACC	Akkra/Accra	1	1	1	0
185	FNT	Flint MI US	0	1	0	0
186	DKR	Dakar SN	0	1	1	0
187	MIA	Miami	1	1	1	0
188	LIM	Lima PE	0	1	1	0
189	LIN	Mailand/Milan Linate	1	0	0	0
190	LIH	Kauai Is. HI US	0	1	1	0
191	MID	Merida (Mexiko)	1	1	0	0
192	LIT	Little Rock AR US	0	1	1	0
193	FNC	Madeira	1	0	1	0
194	FNA	Freetown SL	0	1	0	0
195	LIS	Lissabon/Lisbon	1	1	1	0
196	EGE	Vail/Eagle	1	1	1	0
197	PRG	Prag/Prague	1	1	0	0
198	SAH	Sana/Sana’a	1	0	0	0
199	SAN	San Diego	1	1	1	0
200	PRC	Prescott, AZ	0	0	1	0
201	SAL	San Salvador SV	0	1	1	0
202	PRN	Pristina RS	0	1	0	1
203	SAF	Santa Fe, NM	0	0	1	0
204	AOI	Ancona	1	0	1	0
205	BTR	Baton Rouge LA US	0	1	0	0
206	LBA	Leeds-Bradford	1	0	1	0
207	LBB	Lubbock TX US	0	1	0	0
208	DRO	Durango, CO	0	0	1	0
209	RAP	Rapid City, SD	0	0	1	0
210	LBF	North Platte, NE	0	0	1	0
211	XZN	Avignon Rail Svc FR	0	1	1	0
212	SAV	Savannah	1	1	1	0
213	SAT	San Antonio	1	1	1	0
214	CHA	Chattanooga TN US	0	1	0	0
215	TPE	Taipei	1	1	1	0
216	CHC	Christchurch	1	1	1	0
217	MRY	Carmel-Monterey	1	1	1	0
218	JAX	Jacksonville	1	1	1	0
219	CHO	Charlottesville	1	0	1	0
220	JAN	Jackson (Intl) MS US	0	1	0	0
221	CHQ	Chania	1	0	0	0
222	CHS	Charleston	1	1	1	0
223	EYW	Key West FL US	0	1	1	0
224	HRE	Harare	1	0	0	0
225	JAC	Jackson Hole	1	1	1	0
226	LPA	Las Palmas	1	0	0	0
227	HRB	Harbin, China	0	0	1	0
228	XNA	Fayetteville AR	1	1	1	0
229	VIE	Wien/Vienna	1	1	1	1
230	SYD	Sydney	1	1	1	0
231	APW	Apia Faleolo, W. Samoa	0	0	1	0
232	IPL	Imperial, CA	0	0	1	0
233	SFO	San Francisco	1	1	1	0
234	RHO	Rhodos/Rhodes	1	0	0	0
235	DBQ	Dubuque IA US	0	1	0	0
236	VIX	Vitoria ES BR	0	1	0	0
237	REC	Recife PE BR	0	1	0	0
