name	index	v_type	size
string	string	d	c
		
ak1	l1_1	1	1
pakF	l1_2	1	1
mhkB	l1_3	1	1
mhkC	l1_4	1	1
mhkA	l1_5	1	1
calA	l1_6	1	1
calB	l1_7	1	1
gpaI	l1_8	1	1
gpaD	l1_9	1	1
gpaB	l1_10	1	1
gpaA	l1_11	1	1
drkC	l1_12	1	1
drkB	l1_13	1	1
drkA	l1_14	1	1
dyrk2	l1_15	1	1
carC	l1_16	1	1
shkD	l1_17	1	1
shkE	l1_18	1	1
shkB	l1_19	1	1
shkC	l1_20	1	1
wasA	l1_21	1	1
geneDDB0230001	l1_22	1	1
ku80	l1_23	1	1
stlA	l1_24	1	1
stlB	l1_25	1	1
sgcA	l1_26	1	1
vwkA	l1_27	1	1
dst4	l1_28	1	1
dst2	l1_29	1	1
pteN	l1_30	1	1
phdA	l1_31	1	1
fhkC	l1_32	1	1
scy1	l1_33	1	1
rab8B	l1_34	1	1
rab8A	l1_35	1	1
pkgA	l1_36	1	1
ai4	l1_37	1	1
ai3	l1_38	1	1
racF1	l1_39	1	1
racF2	l1_40	1	1
kxcA	l1_41	1	1
kxcB	l1_42	1	1
acaA	l1_43	1	1
geneDDB0185223	l1_44	1	1
gefD	l1_45	1	1
gefE	l1_46	1	1
gefB	l1_47	1	1
gefC	l1_48	1	1
gefA	l1_49	1	1
gefL	l1_50	1	1
gefM	l1_51	1	1
gefR	l1_52	1	1
gefQ	l1_53	1	1
gefX	l1_54	1	1
grlO	l1_55	1	1
grlN	l1_56	1	1
grlM	l1_57	1	1
grlL	l1_58	1	1
grlK	l1_59	1	1
grlJ	l1_60	1	1
grlH	l1_61	1	1
grlG	l1_62	1	1
grlF	l1_63	1	1
grlE	l1_64	1	1
grlD	l1_65	1	1
grlB	l1_66	1	1
grlA	l1_67	1	1
grlR	l1_68	1	1
grlQ	l1_69	1	1
geneDDB0231406	l1_70	1	1
forJ	l1_71	1	1
forI	l1_72	1	1
forH	l1_73	1	1
pakH	l1_74	1	1
forC	l1_75	1	1
forB	l1_76	1	1
forA	l1_77	1	1
pakG	l1_78	1	1
forG	l1_79	1	1
pakA	l1_80	1	1
forE	l1_81	1	1
pakC	l1_82	1	1
dgkA	l1_83	1	1
aslA	l1_84	1	1
rasG	l1_85	1	1
dokA	l1_86	1	1
pkbA	l1_87	1	1
geneDDB0229899	l1_88	1	1
geneDDB0229877	l1_89	1	1
mrps19	l1_90	1	1
sigH	l1_91	1	1
dhkB	l1_92	1	1
dhkD	l1_93	1	1
dhkF	l1_94	1	1
rdiA	l1_95	1	1
rdiB	l1_96	1	1
dhkM	l1_97	1	1
dhkL	l1_98	1	1
CBP2	l1_99	1	1
DidioMp36	l1_100	1	1
qkgA	l1_101	1	1
fslB	l1_102	1	1
carB	l1_103	1	1
carD	l1_104	1	1
grlC	l1_105	1	1
roco4	l1_106	1	1
roco5	l1_107	1	1
roco6	l1_108	1	1
roco7	l1_109	1	1
roco8	l1_110	1	1
roco9	l1_111	1	1
act12	l1_112	1	1
act13	l1_113	1	1
act10	l1_114	1	1
act11	l1_115	1	1
act16	l1_116	1	1
act17	l1_117	1	1
act14	l1_118	1	1
act15	l1_119	1	1
act19	l1_120	1	1
mtaA	l1_121	1	1
krsB	l1_122	1	1
krsA	l1_123	1	1
nad11	l1_124	1	1
D7	l1_125	1	1
dicA	l1_126	1	1
pakD	l1_127	1	1
pakE	l1_128	1	1
forF	l1_129	1	1
forD	l1_130	1	1
hssB	l1_131	1	1
hssA	l1_132	1	1
smg1	l1_133	1	1
aurK	l1_134	1	1
acrA	l1_135	1	1
geneDDB0229853	l1_136	1	1
act21	l1_137	1	1
act20	l1_138	1	1
myoK	l1_139	1	1
myoJ	l1_140	1	1
myoI	l1_141	1	1
myoH	l1_142	1	1
myoM	l1_143	1	1
myoC	l1_144	1	1
myoB	l1_145	1	1
myoA	l1_146	1	1
myoG	l1_147	1	1
myoF	l1_148	1	1
myoE	l1_149	1	1
myoD	l1_150	1	1
pks16	l1_151	1	1
dnapkcs	l1_152	1	1
fnkB	l1_153	1	1
roco10	l1_154	1	1
roco11	l1_155	1	1
tubC	l1_156	1	1
tubB	l1_157	1	1
tubA	l1_158	1	1
cudA	l1_159	1	1
mlkA	l1_160	1	1
mkkA	l1_161	1	1
spkA-1	l1_162	1	1
spkA-2	l1_163	1	1
scrA	l1_164	1	1
pde3	l1_165	1	1
pdeE	l1_166	1	1
pdeD	l1_167	1	1
dst3	l1_168	1	1
dst1	l1_169	1	1
rpkA	l1_170	1	1
fscD	l1_171	1	1
fscG	l1_172	1	1
fscA	l1_173	1	1
fscB	l1_174	1	1
fscC	l1_175	1	1
fscH	l1_176	1	1
fscJ	l1_177	1	1
atp9	l1_178	1	1
lis1	l1_179	1	1
atp1	l1_180	1	1
atp6	l1_181	1	1
abiA	l1_182	1	1
pkaR	l1_183	1	1
pkaD	l1_184	1	1
pkaC	l1_185	1	1
geneDDB0230006	l1_186	1	1
pks3	l1_187	1	1
pks9	l1_188	1	1
splB	l1_189	1	1
svkA	l1_190	1	1
pkgD	l1_191	1	1
pkgC	l1_192	1	1
geneDDB0229900	l1_193	1	1
fslH	l1_194	1	1
fslK	l1_195	1	1
fslJ	l1_196	1	1
fslL	l1_197	1	1
fslN	l1_198	1	1
fslA	l1_199	1	1
fslC	l1_200	1	1
fslE	l1_201	1	1
fslD	l1_202	1	1
fslG	l1_203	1	1
fslF	l1_204	1	1
fslP	l1_205	1	1
act8	l1_206	1	1
act9	l1_207	1	1
act1	l1_208	1	1
act2	l1_209	1	1
act3	l1_210	1	1
act4	l1_211	1	1
act5	l1_212	1	1
act6	l1_213	1	1
act7	l1_214	1	1
lkb1	l1_215	1	1
mhcA	l1_216	1	1
mps1	l1_217	1	1
geneDDB0231389	l1_218	1	1
D16466	l1_219	1	1
rckA	l1_220	1	1
ai2a	l1_221	1	1
ai2b	l1_222	1	1
ksnF	l1_223	1	1
tor	l1_224	1	1
pspD	l1_225	1	1
st15	l1_226	1	1
gpgA	l1_227	1	1
kinX	l1_228	1	1
kinY	l1_229	1	1
geneDDB0229933	l1_230	1	1
ku70	l1_231	1	1
mrpl11	l1_232	1	1
mrpl16	l1_233	1	1
mrpl6	l1_234	1	1
mrpl2	l1_235	1	1
snfA	l1_236	1	1
atr1	l1_237	1	1
cbpG	l1_238	1	1
cbpF	l1_239	1	1
cbpE	l1_240	1	1
cbpC	l1_241	1	1
cbpA	l1_242	1	1
cbpI	l1_243	1	1
ecmG	l1_244	1	1
ecmF	l1_245	1	1
geneDDB0229930	l1_246	1	1
napA	l1_247	1	1
mrps4	l1_248	1	1
piaA	l1_249	1	1
geneDDB0233633	l1_250	1	1
grlP	l1_251	1	1
geneDDB0229924	l1_252	1	1
ahhA	l1_253	1	1
crlC	l1_254	1	1
crlB	l1_255	1	1
crlA	l1_256	1	1
crlF	l1_257	1	1
spc98	l1_258	1	1
nek2	l1_259	1	1
pirA	l1_260	1	1
cf60	l1_261	1	1
rac1A	l1_262	1	1
rac1B	l1_263	1	1
rac1C	l1_264	1	1
fray2	l1_265	1	1
fray1	l1_266	1	1
gxcA	l1_267	1	1
racG	l1_268	1	1
racD	l1_269	1	1
racE	l1_270	1	1
racB	l1_271	1	1
racC	l1_272	1	1
racA	l1_273	1	1
racN	l1_274	1	1
racO	l1_275	1	1
racL	l1_276	1	1
racM	l1_277	1	1
racJ	l1_278	1	1
racH	l1_279	1	1
racI	l1_280	1	1
acgA	l1_281	1	1
gca	l1_282	1	1
rapA	l1_283	1	1
cbpD1	l1_284	1	1
cbpD2	l1_285	1	1
gdt2	l1_286	1	1
gdt4	l1_287	1	1
gdt6	l1_288	1	1
gdt8	l1_289	1	1
fslO	l1_290	1	1
nad9	l1_291	1	1
nad3	l1_292	1	1
nad2	l1_293	1	1
nad7	l1_294	1	1
nad6	l1_295	1	1
nad5	l1_296	1	1
nad4	l1_297	1	1
tra1	l1_298	1	1
mhkD	l1_299	1	1
hspc300	l1_300	1	1
regA	l1_301	1	1
rasD	l1_302	1	1
rasB	l1_303	1	1
rasC	l1_304	1	1
rasS	l1_305	1	1
nad1	l1_306	1	1
eb1	l1_307	1	1
gbpC	l1_308	1	1
gbpD	l1_309	1	1
mlcE	l1_310	1	1
mlcR	l1_311	1	1
geneDDB0229972	l1_312	1	1
cox3	l1_313	1	1
geneDDB0229998	l1_314	1	1
cenA	l1_315	1	1
mkcA	l1_316	1	1
PLK	l1_317	1	1
ripA	l1_318	1	1
gpbA	l1_319	1	1
dagA	l1_320	1	1
pikD	l1_321	1	1
pikE	l1_322	1	1
pikA	l1_323	1	1
pikB	l1_324	1	1
pikC	l1_325	1	1
geneDDB0229364	l1_326	1	1
cox1/2	l1_327	1	1
