gene	t-test	component name
string	<=0.00 >0.00	string
        
ACTA2	<=0.00	muscle contraction
ACTN1	<=0.00	protein binding
ADA	>0.00	protein binding
ADAM15	<=0.00	protein binding
AHR	<=0.00	protein binding
AKT1	<=0.00	negative regulation of cellular process
ANXA1	<=0.00	regulation of cell proliferation
ANXA2	<=0.00	protein binding
APC	>0.00	Wnt receptor signaling pathway
AREG	<=0.00	protein binding
ARPC1B	<=0.00	regulation of actin filament polymerization
ARPC2	<=0.00	regulation of actin filament polymerization
ATRX	>0.00	protein binding
BARD1	>0.00	protein binding
BCL2	>0.00	multicellular organism growth
BCL3	<=0.00	protein binding
BLK	>0.00	protein binding
BRF1	>0.00	protein binding
CALR	<=0.00	antigen processing and presentation
CAPN2	<=0.00	protein binding
CAPNS1	<=0.00	protein binding
CAST	<=0.00	protein binding
CBX1	>0.00	protein binding
CBX3	>0.00	protein binding
CBX5	>0.00	protein binding
CCL5	<=0.00	cellular calcium ion homeostasis
CCND3	>0.00	protein binding
CCNG2	>0.00	post-translational protein modification
CCR1	<=0.00	cellular calcium ion homeostasis
CCT3	>0.00	unfolded protein binding
CCT4	>0.00	unfolded protein binding
CCT5	>0.00	unfolded protein binding
CCT7	>0.00	unfolded protein binding
CD14	<=0.00	protein binding
CD19	>0.00	protein binding
CD1D	<=0.00	antigen processing and presentation
CD22	>0.00	protein binding
CD44	<=0.00	collagen binding
CD79A	>0.00	protein binding
CD79B	>0.00	protein binding
CD81	>0.00	reproductive process
CD9	>0.00	reproductive process
CDC6	>0.00	protein binding
CDC7	>0.00	protein binding
CES1	<=0.00	hydrolase activity
CFLAR	<=0.00	positive regulation of I-kappaB kinase/NF-kappaB cascade
CLCNKA	<=0.00	voltage-gated chloride channel activity
CLCNKB	<=0.00	voltage-gated chloride channel activity
CLU	<=0.00	protein binding
CNN1	>0.00	actomyosin structure organization
CNN3	>0.00	actomyosin structure organization
COL14A1	<=0.00	collagen binding
COL1A1	<=0.00	collagen binding
COPS5	>0.00	protein binding
CSF3R	<=0.00	protein binding
CSNK1D	<=0.00	protein binding
CSTA	<=0.00	protein metabolic process
CTBP1	>0.00	protein binding
CTNNB1	<=0.00	Wnt receptor signaling pathway
CTSD	<=0.00	autophagic vacuole formation
CTSG	<=0.00	defense response to bacterium
CTSH	<=0.00	protein metabolic process
CXCL1	<=0.00	chemokine activity
CXCL2	<=0.00	chemokine activity
CXCL3	<=0.00	chemokine activity
CYBA	<=0.00	superoxide-generating NADPH oxidase activity
DNTT	>0.00	protein binding
E2F5	>0.00	DNA binding
EED	>0.00	protein binding
ELL	<=0.00	protein binding
ERG	>0.00	sequence-specific DNA binding
ETF1	<=0.00	post-translational protein modification
EZH2	>0.00	protein binding
FADD	>0.00	positive regulation of I-kappaB kinase/NF-kappaB cascade
FBP1	<=0.00	protein binding
FCER2	<=0.00	protein binding
FCGR1A	<=0.00	protein binding
FDPS	>0.00	protein kinase cascade
FES	<=0.00	protein binding
FGFR1	>0.00	protein kinase cascade
FGG	<=0.00	protein binding
FKBP8	<=0.00	multicellular organism growth
FLI1	>0.00	sequence-specific DNA binding
FLNA	<=0.00	maintenance of protein location in cell
FLNB	>0.00	maintenance of protein location in cell
FOSB	<=0.00	protein binding
FOSL2	<=0.00	protein binding
FTH1	<=0.00	ferric iron binding
FTL	<=0.00	ferric iron binding
GATA1	<=0.00	sequence-specific DNA binding
GATA2	<=0.00	protein binding
GJB1	>0.00	gap junction channel activity
GJB2	>0.00	gap junction channel activity
GM2A	<=0.00	ganglioside catabolic process
GNAI2	<=0.00	protein binding
GPX1	<=0.00	glutathione binding
GPX4	<=0.00	glutathione binding
GRN	<=0.00	hatching
